rc=0
stdout=# tracer: nop
#
# entries-in-buffer/entries-written: 5209/5209   #P:8
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [000] d..1. 17935.151432: lpm_gov_select: state:0 qos-us:44 sleep-us:3256265 reason:0x20
          <idle>-0       [003] d..1. 17935.154365: lpm_gov_select: state:1 qos-us:2000000000 sleep-us:9223363946983088 reason:0x0
          <idle>-0       [002] d..1. 17935.154749: lpm_gov_select: state:0 qos-us:44 sleep-us:23936577 reason:0x20
          <idle>-0       [005] d..1. 17935.155104: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946982350874 reason:0x20
          <idle>-0       [000] d..1. 17935.155143: lpm_gov_select: state:0 qos-us:44 sleep-us:3543869 reason:0x20
          <idle>-0       [000] d..1. 17935.155445: lpm_gov_select: state:0 qos-us:44 sleep-us:3242462 reason:0x20
          <idle>-0       [005] d..1. 17935.155464: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946981987540 reason:0x20
          <idle>-0       [001] d..1. 17935.155552: lpm_gov_select: state:0 qos-us:44 sleep-us:27130 reason:0x200
          <idle>-0       [005] d..1. 17935.155781: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946981670144 reason:0x20
          <idle>-0       [000] d..1. 17935.155791: lpm_gov_select: state:0 qos-us:44 sleep-us:2894285 reason:0x20
          <idle>-0       [001] d..1. 17935.157960: lpm_gov_select: state:0 qos-us:44 sleep-us:24722462 reason:0x20
          <idle>-0       [002] d..1. 17935.158080: lpm_gov_select: state:0 qos-us:44 sleep-us:20602 reason:0x200
          <idle>-0       [002] d..1. 17935.159803: lpm_gov_select: state:0 qos-us:44 sleep-us:18883192 reason:0x20
          <idle>-0       [000] d..1. 17935.159872: lpm_gov_select: state:0 qos-us:44 sleep-us:505000 reason:0x20
          <idle>-0       [002] d..1. 17935.159914: lpm_gov_select: state:0 qos-us:44 sleep-us:6770275 reason:0x20
          <idle>-0       [001] d..1. 17935.159917: lpm_gov_select: state:0 qos-us:44 sleep-us:22766577 reason:0x20
          <idle>-0       [000] d..1. 17935.160542: lpm_gov_select: state:0 qos-us:44 sleep-us:2144285 reason:0x20
          <idle>-0       [000] d..1. 17935.160942: lpm_gov_select: state:0 qos-us:44 sleep-us:1743504 reason:0x20
          <idle>-0       [001] d..1. 17935.162764: lpm_gov_select: state:0 qos-us:44 sleep-us:19920535 reason:0x20
          <idle>-0       [000] dn.1. 17935.162813: lpm_gov_select: state:0 qos-us:44 sleep-us:3869754 reason:0x20
          <idle>-0       [000] d..1. 17935.162895: lpm_gov_select: state:0 qos-us:44 sleep-us:3788660 reason:0x20
          <idle>-0       [005] d..1. 17935.163031: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946981670144 reason:0x20
          <idle>-0       [002] d..1. 17935.163041: lpm_gov_select: state:0 qos-us:44 sleep-us:6770275 reason:0x20
          <idle>-0       [001] d..1. 17935.163042: lpm_gov_select: state:0 qos-us:44 sleep-us:19920535 reason:0x20
          <idle>-0       [000] d..1. 17935.163252: lpm_gov_select: state:0 qos-us:44 sleep-us:3433348 reason:0x20
          <idle>-0       [005] d..1. 17935.164291: lpm_gov_select: state:1 qos-us:2000000000 sleep-us:9223363946973161 reason:0x0
          <idle>-0       [005] d..3. 17935.164296: lpm_gov_select: state:0 qos-us:3736076013 sleep-us:3736076013 reason:0x1000
          <idle>-0       [005] d..1. 17935.164319: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946973132 reason:0x800
          <idle>-0       [005] d..1. 17935.164887: lpm_gov_select: state:1 qos-us:2000000000 sleep-us:9223363946972565 reason:0x0
          <idle>-0       [002] d..1. 17935.166760: lpm_gov_select: state:0 qos-us:44 sleep-us:11924442 reason:0x20
          <idle>-0       [001] d..1. 17935.167036: lpm_gov_select: state:0 qos-us:44 sleep-us:19920535 reason:0x20
          <idle>-0       [002] d..1. 17935.167036: lpm_gov_select: state:0 qos-us:44 sleep-us:11924442 reason:0x20
          <idle>-0       [005] d..1. 17935.167091: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946970363530 reason:0x20
          <idle>-0       [005] d..1. 17935.167441: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946970010405 reason:0x20
          <idle>-0       [005] d..1. 17935.167755: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946969695717 reason:0x20
          <idle>-0       [002] d..1. 17935.168422: lpm_gov_select: state:0 qos-us:44 sleep-us:10259 reason:0x200
          <idle>-0       [001] d..1. 17935.168427: lpm_gov_select: state:0 qos-us:44 sleep-us:14254 reason:0x200
          <idle>-0       [000] d..1. 17935.169643: lpm_gov_select: state:0 qos-us:44 sleep-us:923646 reason:0x20
          <idle>-0       [000] d..1. 17935.170963: lpm_gov_select: state:0 qos-us:44 sleep-us:3723504 reason:0x20
          <idle>-0       [005] d..1. 17935.171040: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946969695717 reason:0x20
          <idle>-0       [001] d..1. 17935.171046: lpm_gov_select: state:0 qos-us:44 sleep-us:14254 reason:0x200
          <idle>-0       [002] d..1. 17935.171046: lpm_gov_select: state:0 qos-us:44 sleep-us:10259 reason:0x200
          <idle>-0       [000] d..1. 17935.171270: lpm_gov_select: state:0 qos-us:44 sleep-us:3416629 reason:0x20
          <idle>-0       [005] d..1. 17935.176263: lpm_gov_select: state:1 qos-us:2000000000 sleep-us:9223363946961189 reason:0x0
          <idle>-0       [000] d..1. 17935.178066: lpm_gov_select: state:0 qos-us:44 sleep-us:620275 reason:0x20
          <idle>-0       [000] d..1. 17935.178946: lpm_gov_select: state:0 qos-us:44 sleep-us:2037968 reason:0x20
          <idle>-0       [005] d..1. 17935.179145: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946958308999 reason:0x20
          <idle>-0       [000] d..1. 17935.179267: lpm_gov_select: state:0 qos-us:44 sleep-us:1718646 reason:0x20
          <idle>-0       [000] d..1. 17935.179476: lpm_gov_select: state:0 qos-us:44 sleep-us:1509531 reason:0x20
          <idle>-0       [005] d..1. 17935.179498: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946957952749 reason:0x20
          <idle>-0       [001] d..1. 17935.179655: lpm_gov_select: state:0 qos-us:44 sleep-us:3035640 reason:0x20
          <idle>-0       [005] d..1. 17935.179811: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946957639363 reason:0x20
          <idle>-0       [000] d..1. 17935.179819: lpm_gov_select: state:0 qos-us:44 sleep-us:1165208 reason:0x20
          <idle>-0       [005] d..1. 17935.180503: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946957639363 reason:0x20
          <idle>-0       [001] d..1. 17935.180517: lpm_gov_select: state:0 qos-us:44 sleep-us:3035640 reason:0x20
          <idle>-0       [000] d..1. 17935.180843: lpm_gov_select: state:0 qos-us:44 sleep-us:147916 reason:0x20
          <idle>-0       [000] d..1. 17935.181152: lpm_gov_select: state:0 qos-us:44 sleep-us:1531785 reason:0x20
          <idle>-0       [002] d..1. 17935.181271: lpm_gov_select: state:0 qos-us:44 sleep-us:11054791 reason:0x20
          <idle>-0       [000] d..1. 17935.181409: lpm_gov_select: state:0 qos-us:44 sleep-us:1273817 reason:0x20
          <idle>-0       [004] d..1. 17935.181631: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:400040209 reason:0x20
          <idle>-0       [001] d..1. 17935.182792: lpm_gov_select: state:0 qos-us:44 sleep-us:19104115 reason:0x20
          <idle>-0       [002] d..1. 17935.183889: lpm_gov_select: state:0 qos-us:44 sleep-us:8432448 reason:0x20
          <idle>-0       [000] d..1. 17935.184300: lpm_gov_select: state:0 qos-us:44 sleep-us:2390952 reason:0x20
          <idle>-0       [000] d..1. 17935.185024: lpm_gov_select: state:0 qos-us:44 sleep-us:1662410 reason:0x20
          <idle>-0       [000] d..1. 17935.185513: lpm_gov_select: state:0 qos-us:44 sleep-us:18446744073709551303 reason:0x0
          <idle>-0       [004] d..1. 17935.185618: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:396049844 reason:0x20
          <idle>-0       [000] d..1. 17935.185647: lpm_gov_select: state:0 qos-us:44 sleep-us:1037254 reason:0x20
          <idle>-0       [004] d..1. 17935.185721: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:395947709 reason:0x20
          <idle>-0       [001] d..1. 17935.185892: lpm_gov_select: state:0 qos-us:44 sleep-us:4798921 reason:0x20
          <idle>-0       [005] d..1. 17935.188319: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946949133 reason:0x800
          <idle>-0       [006] d..1. 17935.188769: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946948686759 reason:0x20
          <idle>-0       [005] d..1. 17935.188972: lpm_gov_select: state:1 qos-us:2000000000 sleep-us:9223363946948480 reason:0x0
          <idle>-0       [002] d..1. 17935.189237: lpm_gov_select: state:0 qos-us:44 sleep-us:3075573 reason:0x20
          <idle>-0       [002] d..1. 17935.189506: lpm_gov_select: state:0 qos-us:44 sleep-us:2804427 reason:0x20
          <idle>-0       [001] d..1. 17935.189516: lpm_gov_select: state:0 qos-us:44 sleep-us:1161004 reason:0x20
          <idle>-0       [002] d..1. 17935.189585: lpm_gov_select: state:0 qos-us:44 sleep-us:2725625 reason:0x20
          <idle>-0       [001] d..1. 17935.189585: lpm_gov_select: state:0 qos-us:44 sleep-us:1091004 reason:0x20
          <idle>-0       [000] d..1. 17935.190216: lpm_gov_select: state:0 qos-us:44 sleep-us:466317 reason:0x20
          <idle>-0       [002] d..1. 17935.190427: lpm_gov_select: state:0 qos-us:44 sleep-us:1883646 reason:0x20
          <idle>-0       [000] d..1. 17935.190441: lpm_gov_select: state:0 qos-us:44 sleep-us:239233 reason:0x20
          <idle>-0       [001] d..1. 17935.190608: lpm_gov_select: state:0 qos-us:44 sleep-us:71369 reason:0x20
          <idle>-0       [005] d..1. 17935.190982: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946946471238 reason:0x20
          <idle>-0       [004] d..1. 17935.190989: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:390679479 reason:0x20
          <idle>-0       [006] d..1. 17935.191194: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946946259103 reason:0x20
          <idle>-0       [005] d..1. 17935.191333: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946946118009 reason:0x20
          <idle>-0       [002] d..1. 17935.191495: lpm_gov_select: state:0 qos-us:44 sleep-us:7222931 reason:0x20
          <idle>-0       [002] d..1. 17935.191613: lpm_gov_select: state:0 qos-us:44 sleep-us:7071212 reason:0x20
          <idle>-0       [006] d..1. 17935.191622: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946945828686 reason:0x20
          <idle>-0       [001] d..1. 17935.191623: lpm_gov_select: state:0 qos-us:44 sleep-us:10273334 reason:0x20
          <idle>-0       [005] d..1. 17935.191660: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946945790874 reason:0x20
          <idle>-0       [000] d..1. 17935.193330: lpm_gov_select: state:0 qos-us:44 sleep-us:1361108 reason:0x20
          <idle>-0       [000] d..1. 17935.193780: lpm_gov_select: state:0 qos-us:44 sleep-us:910067 reason:0x20
          <idle>-0       [000] d..1. 17935.195060: lpm_gov_select: state:0 qos-us:44 sleep-us:3626056 reason:0x20
          <idle>-0       [001] d..1. 17935.195183: lpm_gov_select: state:0 qos-us:44 sleep-us:3502567 reason:0x20
          <idle>-0       [000] d..1. 17935.197444: lpm_gov_select: state:0 qos-us:44 sleep-us:1245483 reason:0x20
