rc=0
stdout=# tracer: nop
#
# entries-in-buffer/entries-written: 969/4217   #P:8
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [007] d..1. 17844.346360: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:170001927 reason:0x20
          <idle>-0       [007] d..1. 17844.346518: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:169842865 reason:0x20
          <idle>-0       [007] d..1. 17844.346981: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:169380521 reason:0x20
          <idle>-0       [007] d..1. 17844.348876: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:167486250 reason:0x20
          <idle>-0       [007] d..1. 17844.350752: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:165610885 reason:0x20
          <idle>-0       [007] d..1. 17844.351514: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:164846250 reason:0x20
          <idle>-0       [007] d..1. 17844.352086: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:164274271 reason:0x20
          <idle>-0       [007] d..1. 17844.352113: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:164247135 reason:0x20
          <idle>-0       [007] d..1. 17844.353135: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:163226667 reason:0x20
          <idle>-0       [004] d..1. 17844.353229: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:98443692 reason:0x20
          <idle>-0       [007] d..1. 17844.355137: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:161224 reason:0x800
          <idle>-0       [007] d..1. 17844.355542: lpm_gov_select: state:1 qos-us:2000000000 sleep-us:160819 reason:0x0
          <idle>-0       [004] d..1. 17844.357755: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:93918223 reason:0x20
          <idle>-0       [004] d..1. 17844.357799: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:93874161 reason:0x20
          <idle>-0       [004] d..1. 17844.357840: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:93833588 reason:0x20
          <idle>-0       [007] d..1. 17844.357863: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:158500469 reason:0x20
          <idle>-0       [004] d..1. 17844.357866: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:93807494 reason:0x20
          <idle>-0       [007] d..1. 17844.359864: lpm_gov_select: state:1 qos-us:2000000000 sleep-us:156497 reason:0x0
          <idle>-0       [004] d..1. 17844.366392: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:85288 reason:0x800
          <idle>-0       [004] d..1. 17844.366571: lpm_gov_select: state:1 qos-us:2000000000 sleep-us:85107 reason:0x0
          <idle>-0       [004] d..1. 17844.452042: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223364001078415488 reason:0x20
          <idle>-0       [004] d..1. 17844.454933: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223364001078415488 reason:0x20
          <idle>-0       [004] d..1. 17844.460546: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223364001069907 reason:0x800
          <idle>-0       [004] d..1. 17844.460725: lpm_gov_select: state:1 qos-us:2000000000 sleep-us:9223364001069729 reason:0x0
          <idle>-0       [007] d..1. 17844.481933: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:34430156 reason:0x0
          <idle>-0       [004] d..1. 17844.482023: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223364001048428041 reason:0x0
          <idle>-0       [006] d..1. 17844.482080: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:8957597077 reason:0x0
          <idle>-0       [006] d..1. 17845.414826: lpm_gov_select: state:1 qos-us:2000000000 sleep-us:9223364001039239 reason:0x0
          <idle>-0       [004] d..1. 17845.414826: lpm_gov_select: state:1 qos-us:2000000000 sleep-us:9223364001039240 reason:0x0
          <idle>-0       [007] d..1. 17845.414826: lpm_gov_select: state:1 qos-us:2000000000 sleep-us:25151 reason:0x0
          <idle>-0       [006] d..1. 17845.435958: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223364001018111895 reason:0x20
          <idle>-0       [006] d..1. 17845.438892: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223364001018111895 reason:0x20
          <idle>-0       [004] d..1. 17845.439643: lpm_gov_select: state:1 qos-us:2000000000 sleep-us:9223364001014434 reason:0x0
          <idle>-0       [007] d..1. 17845.440485: lpm_gov_select: state:1 qos-us:2000000000 sleep-us:35255770810 reason:0x0
          <idle>-0       [006] d..1. 17845.443353: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223364001010712259 reason:0x20
