rc=0
stdout=# tracer: nop
#
# entries-in-buffer/entries-written: 224/224   #P:8
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
    binder:940_3-2215    [000] ..... 18003.269293: suspend_resume: dpm_suspend_noirq[2] begin
    binder:940_3-2215    [002] ..... 18003.275472: suspend_resume: dpm_suspend_noirq[2] end
    binder:940_3-2215    [002] ..... 18003.275490: suspend_resume: CPU_OFF[1] begin
    binder:940_3-2215    [002] ..... 18003.285088: suspend_resume: CPU_OFF[1] end
    binder:940_3-2215    [002] ..... 18003.285092: suspend_resume: CPU_OFF[2] begin
    binder:940_3-2215    [000] ..... 18003.292743: suspend_resume: CPU_OFF[2] end
    binder:940_3-2215    [000] ..... 18003.292747: suspend_resume: CPU_OFF[3] begin
    binder:940_3-2215    [000] ..... 18003.296860: suspend_resume: CPU_OFF[3] end
    binder:940_3-2215    [000] ..... 18003.296864: suspend_resume: CPU_OFF[4] begin
    binder:940_3-2215    [000] ..... 18003.301285: suspend_resume: CPU_OFF[4] end
    binder:940_3-2215    [000] ..... 18003.301289: suspend_resume: CPU_OFF[5] begin
    binder:940_3-2215    [000] ..... 18003.306472: suspend_resume: CPU_OFF[5] end
    binder:940_3-2215    [000] ..... 18003.306477: suspend_resume: CPU_OFF[6] begin
    binder:940_3-2215    [000] ..... 18003.312138: suspend_resume: CPU_OFF[6] end
    binder:940_3-2215    [000] ..... 18003.312142: suspend_resume: CPU_OFF[7] begin
    binder:940_3-2215    [000] ..... 18003.315677: suspend_resume: CPU_OFF[7] end
    binder:940_3-2215    [000] d.... 18003.315681: suspend_resume: syscore_suspend[0] begin
    binder:940_3-2215    [000] d..2. 18003.315917: cluster_enter: last cpu:0 idx:1 suspend_param:0x4100c344
    binder:940_3-2215    [000] d.... 18003.315942: suspend_resume: syscore_suspend[0] end
    binder:940_3-2215    [000] d.... 18003.315942: suspend_resume: machine_suspend[3] begin
    binder:940_3-2215    [000] d.... 18003.315942: suspend_resume: machine_suspend[3] end
    binder:940_3-2215    [000] d.... 18003.315942: suspend_resume: syscore_resume[0] begin
    binder:940_3-2215    [000] dN.2. 18007.722045: cluster_exit: first cpu:0 idx:1 suspend_param:0x4100c344
    binder:940_3-2215    [000] dN... 18007.722334: suspend_resume: syscore_resume[0] end
    binder:940_3-2215    [000] ..... 18007.722787: suspend_resume: CPU_ON[1] begin
    binder:940_3-2215    [000] ..... 18007.729078: suspend_resume: CPU_ON[1] end
    binder:940_3-2215    [000] ..... 18007.729095: suspend_resume: CPU_ON[2] begin
    binder:940_3-2215    [000] ..... 18007.735956: suspend_resume: CPU_ON[2] end
    binder:940_3-2215    [000] ..... 18007.735970: suspend_resume: CPU_ON[3] begin
    binder:940_3-2215    [000] ..... 18007.744661: suspend_resume: CPU_ON[3] end
    binder:940_3-2215    [000] ..... 18007.744678: suspend_resume: CPU_ON[4] begin
    binder:940_3-2215    [000] ..... 18007.749165: suspend_resume: CPU_ON[4] end
    binder:940_3-2215    [000] ..... 18007.749179: suspend_resume: CPU_ON[5] begin
    binder:940_3-2215    [002] ..... 18007.754076: suspend_resume: CPU_ON[5] end
    binder:940_3-2215    [002] ..... 18007.754094: suspend_resume: CPU_ON[6] begin
    binder:940_3-2215    [000] ..... 18007.759041: suspend_resume: CPU_ON[6] end
    binder:940_3-2215    [000] ..... 18007.759056: suspend_resume: CPU_ON[7] begin
    binder:940_3-2215    [000] ..... 18007.765422: suspend_resume: CPU_ON[7] end
    binder:940_3-2215    [000] ..... 18007.765438: suspend_resume: dpm_resume_noirq[16] begin
    binder:940_3-2215    [001] ..... 18007.772024: suspend_resume: dpm_resume_noirq[16] end
    binder:940_3-2215    [001] ..... 18007.780803: suspend_resume: dpm_resume_early[16] begin
    binder:940_3-2215    [001] ..... 18007.785571: suspend_resume: dpm_resume_early[16] end
    binder:940_3-2215    [001] ..... 18007.785576: suspend_resume: dpm_resume[16] begin
    binder:940_3-2215    [001] ..... 18007.830782: suspend_resume: dpm_resume[16] end
    binder:940_3-2215    [001] ..... 18007.830786: suspend_resume: dpm_complete[16] begin
    binder:940_3-2215    [001] ..... 18007.833954: suspend_resume: dpm_complete[16] end
    binder:940_3-2215    [001] ..... 18007.833958: suspend_resume: resume_console[3] begin
    binder:940_3-2215    [001] ..... 18007.834085: suspend_resume: resume_console[3] end
    binder:940_3-2215    [001] ..... 18007.834088: suspend_resume: thaw_processes[0] begin
    binder:940_3-2215    [000] ..... 18007.844970: suspend_resume: thaw_processes[0] end
    binder:940_4-8272    [000] ..... 18008.081523: suspend_resume: suspend_enter[3] begin
    binder:940_4-8272    [000] ..... 18008.081539: suspend_resume: sync_filesystems[0] begin
    binder:940_4-8272    [002] ..... 18008.097528: suspend_resume: sync_filesystems[0] end
    binder:940_4-8272    [002] ..... 18008.097657: suspend_resume: freeze_processes[0] begin
