# tracer: nop
#
# entries-in-buffer/entries-written: 137/137   #P:8
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
     kworker/2:2-25976   [002] d..1. 10177.914879: rpmh_send_msg: apps_rsc-drv-2: send-msg: tcs(m): 0 cmd(n): 3 msgid: 0x10108 addr: 0x5001c data: 0x201dc096 complete: 0
     kworker/2:2-25976   [002] d..1. 10177.914883: rpmh_send_msg: apps_rsc-drv-2: send-msg: tcs(m): 0 cmd(n): 4 msgid: 0x10108 addr: 0x50010 data: 0x6afd012d complete: 1
     kworker/2:2-25976   [002] d..1. 10177.914887: rpmh_send_msg: apps_rsc-drv-2: send-msg: tcs(m): 0 cmd(n): 5 msgid: 0x10108 addr: 0x50068 data: 0x60000008 complete: 1
    binder:940_4-8272    [002] d.h1. 10177.914928: rpmh_tx_done: apps_rsc-drv-2: ack: tcs-m: 0 addr: 0x50000 data: 0x61cf8824
          <idle>-0       [000] d..1. 10177.914934: lpm_gov_select: state:0 qos-us:44 sleep-us:3756660 reason:0x20
     kworker/2:2-25976   [002] d..1. 10177.914982: rpmh_send_msg: apps_rsc-drv-2: send-msg: tcs(m): 0 cmd(n): 0 msgid: 0x10108 addr: 0x50008 data: 0x60000001 complete: 1
     kworker/2:2-25976   [002] d..1. 10177.914986: rpmh_send_msg: apps_rsc-drv-2: send-msg: tcs(m): 0 cmd(n): 1 msgid: 0x10108 addr: 0x50038 data: 0x60000001 complete: 1
    binder:940_4-8272    [002] d.h1. 10177.915009: rpmh_tx_done: apps_rsc-drv-2: ack: tcs-m: 0 addr: 0x50008 data: 0x60000001
     kworker/2:2-25976   [002] d..1. 10177.915059: rpmh_send_msg: apps_rsc-drv-2: send-msg: tcs(m): 0 cmd(n): 0 msgid: 0x10108 addr: 0x50000 data: 0x61cf8824 complete: 1
     kworker/2:2-25976   [002] d..1. 10177.915063: rpmh_send_msg: apps_rsc-drv-2: send-msg: tcs(m): 0 cmd(n): 1 msgid: 0x10108 addr: 0x50008 data: 0x20000001 complete: 0
     kworker/2:2-25976   [002] d..1. 10177.915067: rpmh_send_msg: apps_rsc-drv-2: send-msg: tcs(m): 0 cmd(n): 2 msgid: 0x10108 addr: 0x50004 data: 0x625211db complete: 1
     kworker/2:2-25976   [002] d..1. 10177.915070: rpmh_send_msg: apps_rsc-drv-2: send-msg: tcs(m): 0 cmd(n): 3 msgid: 0x10108 addr: 0x5001c data: 0x201e0096 complete: 0
     kworker/2:2-25976   [002] d..1. 10177.915074: rpmh_send_msg: apps_rsc-drv-2: send-msg: tcs(m): 0 cmd(n): 4 msgid: 0x10108 addr: 0x50010 data: 0x6afd812d complete: 1
     kworker/2:2-25976   [002] d..1. 10177.915077: rpmh_send_msg: apps_rsc-drv-2: send-msg: tcs(m): 0 cmd(n): 5 msgid: 0x10108 addr: 0x50068 data: 0x60000008 complete: 1
    binder:940_4-8272    [002] d.h.. 10177.915102: rpmh_tx_done: apps_rsc-drv-2: ack: tcs-m: 0 addr: 0x50000 data: 0x61cf8824
     kworker/2:2-25976   [002] d..1. 10177.915143: rpmh_send_msg: apps_rsc-drv-2: send-msg: tcs(m): 0 cmd(n): 0 msgid: 0x10108 addr: 0x50008 data: 0x60000001 complete: 1
     kworker/2:2-25976   [002] d..1. 10177.915147: rpmh_send_msg: apps_rsc-drv-2: send-msg: tcs(m): 0 cmd(n): 1 msgid: 0x10108 addr: 0x50038 data: 0x60000001 complete: 1
    binder:940_4-8272    [002] d.h1. 10177.915168: rpmh_tx_done: apps_rsc-drv-2: ack: tcs-m: 0 addr: 0x50008 data: 0x60000001
